man0 woman20
man1 woman23
man10 woman47
man11 woman7
man12 woman27
man13 woman32
man14 woman41
man15 woman34
man16 woman2
man17 woman5
man18 woman45
man19 woman13
man2 woman1
man20 woman21
man21 woman48
man22 woman39
man23 woman31
man24 woman24
man25 woman26
man26 woman19
man27 woman30
man28 woman9
man29 woman36
man3 woman46
man30 woman18
man31 woman22
man32 woman28
man33 woman6
man34 woman16
man35 woman8
man36 woman4
man37 woman43
man38 woman10
man39 woman11
man4 woman40
man40 woman15
man41 woman42
man42 woman33
man43 woman3
man44 woman17
man45 woman44
man46 woman38
man47 woman37
man48 woman14
man5 woman25
man6 woman29
man7 woman0
man8 woman12
man9 woman35
