man0 woman85
man1 woman100
man10 woman6
man100 woman25
man101 woman24
man102 woman40
man11 woman63
man12 woman81
man13 woman69
man14 woman65
man15 woman20
man16 woman98
man17 woman95
man18 woman49
man19 woman86
man2 woman87
man20 woman33
man21 woman9
man22 woman32
man23 woman22
man24 woman0
man25 woman5
man26 woman79
man27 woman90
man28 woman59
man29 woman4
man3 woman101
man30 woman62
man31 woman74
man32 woman38
man33 woman26
man34 woman18
man35 woman45
man36 woman60
man37 woman61
man38 woman73
man39 woman30
man4 woman55
man40 woman7
man41 woman23
man42 woman70
man43 woman8
man44 woman91
man45 woman99
man46 woman64
man47 woman52
man48 woman66
man49 woman76
man5 woman53
man50 woman15
man51 woman28
man52 woman102
man53 woman39
man54 woman1
man55 woman46
man56 woman92
man57 woman54
man58 woman93
man59 woman29
man6 woman37
man60 woman16
man61 woman96
man62 woman57
man63 woman11
man64 woman94
man65 woman34
man66 woman21
man67 woman17
man68 woman12
man69 woman48
man7 woman42
man70 woman71
man71 woman72
man72 woman67
man73 woman89
man74 woman82
man75 woman56
man76 woman88
man77 woman78
man78 woman97
man79 woman41
man8 woman47
man80 woman75
man81 woman31
man82 woman43
man83 woman2
man84 woman80
man85 woman77
man86 woman84
man87 woman13
man88 woman68
man89 woman3
man9 woman27
man90 woman14
man91 woman51
man92 woman50
man93 woman10
man94 woman36
man95 woman44
man96 woman35
man97 woman58
man98 woman19
man99 woman83
