man0 woman11
man1 woman31
man10 woman48
man11 woman2
man12 woman1
man13 woman80
man14 woman81
man15 woman22
man16 woman47
man17 woman39
man18 woman26
man19 woman41
man2 woman55
man20 woman74
man21 woman73
man22 woman23
man23 woman58
man24 woman18
man25 woman82
man26 woman89
man27 woman42
man28 woman4
man29 woman54
man3 woman32
man30 woman69
man31 woman45
man32 woman68
man33 woman6
man34 woman20
man35 woman64
man36 woman0
man37 woman24
man38 woman83
man39 woman65
man4 woman30
man40 woman40
man41 woman35
man42 woman88
man43 woman59
man44 woman78
man45 woman16
man46 woman49
man47 woman85
man48 woman72
man49 woman67
man5 woman60
man50 woman28
man51 woman13
man52 woman75
man53 woman33
man54 woman10
man55 woman19
man56 woman21
man57 woman77
man58 woman34
man59 woman5
man6 woman12
man60 woman76
man61 woman17
man62 woman25
man63 woman79
man64 woman7
man65 woman46
man66 woman38
man67 woman36
man68 woman15
man69 woman14
man7 woman43
man70 woman56
man71 woman62
man72 woman90
man73 woman86
man74 woman63
man75 woman9
man76 woman50
man77 woman66
man78 woman84
man79 woman44
man8 woman87
man80 woman29
man81 woman61
man82 woman53
man83 woman8
man84 woman37
man85 woman3
man86 woman70
man87 woman57
man88 woman52
man89 woman27
man9 woman51
man90 woman71
