man0 woman16
man1 woman69
man10 woman5
man11 woman77
man12 woman22
man13 woman82
man14 woman58
man15 woman43
man16 woman59
man17 woman90
man18 woman64
man19 woman92
man2 woman88
man20 woman31
man21 woman57
man22 woman2
man23 woman70
man24 woman86
man25 woman34
man26 woman46
man27 woman83
man28 woman68
man29 woman60
man3 woman56
man30 woman32
man31 woman27
man32 woman62
man33 woman21
man34 woman37
man35 woman61
man36 woman91
man37 woman85
man38 woman71
man39 woman25
man4 woman95
man40 woman35
man41 woman30
man42 woman9
man43 woman17
man44 woman0
man45 woman54
man46 woman14
man47 woman55
man48 woman1
man49 woman3
man5 woman20
man50 woman63
man51 woman75
man52 woman87
man53 woman42
man54 woman28
man55 woman36
man56 woman76
man57 woman40
man58 woman24
man59 woman47
man6 woman29
man60 woman10
man61 woman8
man62 woman51
man63 woman84
man64 woman11
man65 woman78
man66 woman23
man67 woman94
man68 woman44
man69 woman50
man7 woman79
man70 woman38
man71 woman48
man72 woman72
man73 woman39
man74 woman18
man75 woman33
man76 woman13
man77 woman93
man78 woman66
man79 woman52
man8 woman4
man80 woman6
man81 woman81
man82 woman15
man83 woman49
man84 woman7
man85 woman73
man86 woman53
man87 woman12
man88 woman45
man89 woman41
man9 woman89
man90 woman26
man91 woman74
man92 woman67
man93 woman65
man94 woman80
man95 woman19
