man0 woman21
man1 woman34
man10 woman64
man11 woman33
man12 woman24
man13 woman38
man14 woman44
man15 woman43
man16 woman8
man17 woman19
man18 woman31
man19 woman50
man2 woman62
man20 woman0
man21 woman23
man22 woman16
man23 woman57
man24 woman17
man25 woman53
man26 woman42
man27 woman59
man28 woman3
man29 woman58
man3 woman28
man30 woman11
man31 woman48
man32 woman1
man33 woman40
man34 woman72
man35 woman39
man36 woman54
man37 woman15
man38 woman9
man39 woman67
man4 woman69
man40 woman60
man41 woman63
man42 woman75
man43 woman14
man44 woman74
man45 woman32
man46 woman22
man47 woman41
man48 woman46
man49 woman61
man5 woman37
man50 woman52
man51 woman5
man52 woman45
man53 woman13
man54 woman4
man55 woman36
man56 woman73
man57 woman51
man58 woman55
man59 woman27
man6 woman10
man60 woman29
man61 woman66
man62 woman56
man63 woman12
man64 woman18
man65 woman65
man66 woman7
man67 woman47
man68 woman20
man69 woman70
man7 woman25
man70 woman68
man71 woman49
man72 woman30
man73 woman71
man74 woman26
man75 woman35
man8 woman6
man9 woman2
